dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
0001,Bulbasaur,1,Grass,Poison,Seed Pokémon,0.7,6.9,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,1 Sp. Atk,45,50,64,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0002,Ivysaur,1,Grass,Poison,Seed Pokémon,1.0,13.0,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,"1 Sp. Atk, 1 Sp. Def",45,50,142,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0003,Venusaur,1,Grass,Poison,Seed Pokémon,2.0,100.0,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,"2 Sp. Atk, 1 Sp. Def",45,50,236,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0004,Charmander,1,Fire,,Lizard Pokémon,0.6,8.5,Blaze,Solar Power,,39,52,43,60,50,65,309,1 Speed,45,50,62,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
0005,Charmeleon,1,Fire,,Flame Pokémon,1.1,19.0,Blaze,Solar Power,,58,64,58,80,65,80,405,"1 Sp. Atk, 1 Speed",45,50,142,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
0006,Charizard,1,Fire,Flying,Flame Pokémon,1.7,90.5,Blaze,Solar Power,,78,84,78,109,85,100,534,3 Sp. Atk,45,50,267,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
0007,Squirtle,1,Water,,Tiny Turtle Pokémon,0.5,9.0,Torrent,Rain Dish,,44,48,65,50,64,43,314,1 Defense,45,50,63,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0008,Wartortle,1,Water,,Turtle Pokémon,1.0,22.5,Torrent,Rain Dish,,59,63,80,65,80,58,405,"1 Defense, 1 Sp. Def",45,50,142,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0009,Blastoise,1,Water,,Shellfish Pokémon,1.6,85.5,Torrent,Rain Dish,,79,83,100,85,105,78,530,3 Sp. Def,45,50,239,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0010,Caterpie,1,Bug,,Worm Pokémon,0.3,2.9,Shield Dust,Run Away,,45,30,35,20,20,45,195,1 HP,255,50,39,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0011,Metapod,1,Bug,,Cocoon Pokémon,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,205,2 Defense,120,50,72,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0012,Butterfree,1,Bug,Flying,Butterfly Pokémon,1.1,32.0,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,"2 Sp. Atk, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0013,Weedle,1,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,Shield Dust,Run Away,,40,35,30,20,20,50,195,1 Speed,255,50,39,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0014,Kakuna,1,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed Skin,,,45,25,50,25,25,35,205,2 Defense,120,50,72,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0015,Beedrill,1,Bug,Poison,Poison Bee Pokémon,1.0,29.5,Swarm,Sniper,,65,90,40,45,80,75,395,"2 Attack, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50.0,50.0,15,Ordinary
0016,Pidgey,1,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,1 Speed,255,50,50,Medium Slow,Flying,,50.0,50.0,15,Ordinary
